,id,title,is_paid,price,currency,price_string,currency_symbol,url
0,567828.0,complete python bootcamp zero hero python,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/complete-python-bootcamp/
1,793796.0,microsoft excel  excel beginner advanced,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/
2,625204.0,web developer bootcamp,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/the-web-developer-bootcamp/
3,1565838.0,complete web development bootcamp,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/the-complete-web-development-bootcamp/
4,756150.0,angular  complete guide edition,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/the-complete-guide-to-angular-2/
5,950390.0,machine learning handson python  r data science,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/machinelearning/
6,533682.0,java programming masterclass covering java 11  java 17,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/java-the-complete-java-developer-course/
7,914296.0,complete digital marketing course  12 courses,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/learn-digital-marketing-course/
8,1362070.0,react  complete guide incl hooks react router redux,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/react-the-complete-guide-incl-redux/
9,851712.0,complete javascript course zero expert,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/the-complete-javascript-course/
10,762616.0,complete sql bootcamp go zero hero,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/the-complete-sql-bootcamp/
11,874012.0,ultimate drawing course  beginner advanced,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/the-ultimate-drawing-course-beginner-to-advanced/
12,903744.0,python data science machine learning bootcamp,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/
13,2196488.0,ultimate aws certified solutions architect associate,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c02/
14,857010.0,learn ethical hacking scratch,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/learn-ethical-hacking-from-scratch/
15,1754098.0,data science course complete data science bootcamp,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/
16,543600.0,automate boring stuff python programming,1.0,49.99,EUR,€49.99,€,https://www.udemy.com/course/automate/
17,258316.0,complete unity game developer 2d,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/unitycourse/
18,629302.0,learn python programming masterclass,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/python-the-complete-python-developer-course/
19,1361790.0,pmp exam prep seminar  exam content 35 pdus,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/pmp-pmbok6-35-pdus/
20,937678.0,tableau handson tableau training data science,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/tableau10/
21,705264.0,modern react redux,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/react-redux/
22,354176.0,selenium webdriver java basics advancedframeworks,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/
23,3142166.0,new ultimate aws certified cloud practitioner ,1.0,79.99,EUR,€79.99,€,https://www.udemy.com/course/aws-certified-cloud-practitioner-new/
24,764164.0,complete web developer course 20,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/the-complete-web-developer-course-2/
25,1778502.0,ios  swift  complete ios app development bootcamp,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/ios-13-app-development-bootcamp/
26,2776760.0,100 days code complete python pro bootcamp,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/100-days-of-code/
27,437398.0,build responsive realworld websites html css,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/
28,922484.0,complete nodejs developer course 3rd edition,1.0,79.99,EUR,€79.99,€,https://www.udemy.com/course/the-complete-nodejs-developer-course-2/
29,648826.0,complete financial analyst course,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/the-complete-financial-analyst-course/
30,1187016.0,ultimate mysql bootcamp go sql beginner expert,1.0,139.99,EUR,€139.99,€,https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/
31,1259404.0,character art school complete character drawing course,1.0,109.99,EUR,€109.99,€,https://www.udemy.com/course/character-art-school-complete-character-drawing/
32,647428.0,spring  hibernate beginners includes spring boot,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/spring-hibernate-tutorial/
33,516446.0,microsoft excel  advanced excel formulas  functions,1.0,129.99,EUR,€129.99,€,https://www.udemy.com/course/excel-for-analysts/
34,657932.0,unreal engine developer learn make video games,1.0,109.99,EUR,€109.99,€,https://www.udemy.com/course/unrealcourse/
35,1462428.0,photography masterclass complete guide photography,1.0,199.99,EUR,€199.99,€,https://www.udemy.com/course/photography-masterclass-complete-guide-to-photography/
36,864146.0,agile crash course agile project management agile delivery,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/agile-crash-course/
37,692188.0,python mega course build 10 realworld programs,1.0,149.99,EUR,€149.99,€,https://www.udemy.com/course/the-python-mega-course/
38,1208634.0,microsoft power  complete introduction edition,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/powerbi-complete-introduction/
39,1035000.0,docker mastery kubernetes swarm docker captain,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/docker-mastery/
40,2359992.0,total comptia certification 2201001,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/new-comptia-a-2019-certification-1001-the-total-course/
