id,title,is_paid,price,currency,price_string,currency_symbol,url
995016.0,"Vue - The Complete Guide (w/ Router, Vuex, Composition API)",1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/vuejs-2-the-complete-guide/
1921420.0,Ultimate AWS Certified Developer Associate 2021 - NEW!,1.0,129.99,EUR,€129.99,€,https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/
637930.0,An Entire MBA in 1 Course:Award Winning Business School Prof,1.0,149.99,EUR,€149.99,€,https://www.udemy.com/course/an-entire-mba-in-1-courseaward-winning-business-school-prof/
382002.0,C# Basics for Beginners: Learn C# Fundamentals by Coding,1.0,109.99,EUR,€109.99,€,https://www.udemy.com/course/csharp-tutorial-for-beginners/
438522.0,Complete Blender Creator: Learn 3D Modelling for Beginners,1.0,109.99,EUR,€109.99,€,https://www.udemy.com/course/blendertutorial/
1570206.0,Microsoft Power BI Desktop for Business Intelligence,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/
59527.0,"Reiki Level I, II and Master/Teacher Program",1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/reikicourse/
671544.0,Ultimate Google Ads Training 2021: Profit with Pay Per Click,1.0,109.99,EUR,€109.99,€,https://www.udemy.com/course/the-ultimate-google-adwords-training-course/
1793828.0,Docker and Kubernetes: The Complete Guide,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/
765242.0,R Programming A-Z™: R For Data Science With Real Exercises!,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/r-programming/
2394982.0,AZ-900: Microsoft Azure Fundamentals Exam Prep - OCT 2021,1.0,49.99,EUR,€49.99,€,https://www.udemy.com/course/az900-azure/
655608.0,Productivity and Time Management for the Overwhelmed,1.0,74.99,EUR,€74.99,€,https://www.udemy.com/course/productivity-and-time-management/
364426.0,JavaScript: Understanding the Weird Parts,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/understand-javascript/
1576854.0,Beginning C++ Programming - From Beginner to Beyond,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/beginning-c-plus-plus-programming/
